epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,17240.4,1.15937,0.91661,1.04036,0.73561,0.79008,0.7961,0.58315,1.09965,0.65895,0.79822,0.007921,0.007921,0.007921
44,17661,1.14038,0.89923,1.03391,0.73739,0.79006,0.79603,0.58362,1.09873,0.65779,0.79788,0.0078715,0.0078715,0.0078715
45,18081.3,1.15047,0.91267,1.03988,0.73342,0.78695,0.79427,0.5825,1.09798,0.65689,0.79756,0.007822,0.007822,0.007822
46,18501.8,1.14276,0.90574,1.03664,0.73541,0.78716,0.79463,0.58274,1.0972,0.65617,0.79695,0.0077725,0.0077725,0.0077725
47,18922.2,1.14057,0.89377,1.03655,0.73498,0.78706,0.7947,0.58204,1.09708,0.65493,0.7967,0.007723,0.007723,0.007723
48,19342.6,1.14864,0.90349,1.03723,0.73877,0.7857,0.79454,0.58172,1.0972,0.65406,0.7967,0.0076735,0.0076735,0.0076735
49,19762.6,1.13452,0.8879,1.02928,0.74269,0.78512,0.79585,0.58355,1.09654,0.65333,0.79662,0.007624,0.007624,0.007624
50,20183.1,1.1449,0.89382,1.03048,0.74444,0.78474,0.79617,0.58353,1.09624,0.65227,0.79645,0.0075745,0.0075745,0.0075745
51,20603.2,1.14132,0.88754,1.02958,0.74153,0.78588,0.79711,0.58475,1.09553,0.65162,0.79641,0.007525,0.007525,0.007525
52,21023.7,1.1198,0.87819,1.02833,0.74529,0.78697,0.79786,0.58531,1.09541,0.65122,0.79607,0.0074755,0.0074755,0.0074755
53,21443.8,1.14029,0.89125,1.03069,0.74198,0.78739,0.79861,0.58606,1.09513,0.65082,0.7959,0.007426,0.007426,0.007426
54,21864.4,1.13204,0.88306,1.03307,0.73658,0.79024,0.79963,0.58694,1.09472,0.65004,0.7959,0.0073765,0.0073765,0.0073765
55,22284.7,1.13128,0.87764,1.02965,0.74196,0.78612,0.79998,0.58637,1.09384,0.64878,0.79574,0.007327,0.007327,0.007327
56,22705.2,1.13288,0.8837,1.03052,0.74814,0.78328,0.80173,0.5876,1.09324,0.64787,0.79541,0.0072775,0.0072775,0.0072775
57,23125.5,1.13354,0.88006,1.02975,0.75347,0.78236,0.80261,0.58973,1.09241,0.6477,0.79522,0.007228,0.007228,0.007228
58,23546.1,1.12161,0.87059,1.02833,0.74967,0.78281,0.80268,0.58994,1.09156,0.64734,0.79492,0.0071785,0.0071785,0.0071785
59,23966.4,1.12641,0.8709,1.0262,0.75076,0.78269,0.80268,0.59119,1.09096,0.64646,0.79441,0.007129,0.007129,0.007129
60,24387,1.12245,0.86724,1.02463,0.76187,0.7727,0.80212,0.58995,1.09073,0.64577,0.7943,0.0070795,0.0070795,0.0070795
61,24807.1,1.12438,0.8717,1.02793,0.76461,0.77156,0.80271,0.59019,1.0901,0.64489,0.79376,0.00703,0.00703,0.00703
62,25227.7,1.11598,0.87138,1.02278,0.76652,0.77202,0.80384,0.58987,1.08972,0.64441,0.79351,0.0069805,0.0069805,0.0069805
63,25647.9,1.11735,0.86357,1.02468,0.76342,0.77136,0.80364,0.58928,1.08884,0.64342,0.79317,0.006931,0.006931,0.006931
64,26068.4,1.12123,0.86535,1.02267,0.76624,0.77234,0.80343,0.5911,1.08823,0.64271,0.79277,0.0068815,0.0068815,0.0068815
65,26488.5,1.12064,0.86565,1.0228,0.76887,0.77235,0.8032,0.5892,1.08782,0.6419,0.79256,0.006832,0.006832,0.006832
66,26908.8,1.11128,0.85694,1.0228,0.77655,0.76431,0.8025,0.58836,1.08742,0.64081,0.79241,0.0067825,0.0067825,0.0067825
67,27329,1.11003,0.85466,1.02309,0.77577,0.76189,0.80413,0.5901,1.08662,0.64007,0.79203,0.006733,0.006733,0.006733
68,27749.4,1.10681,0.85223,1.02028,0.77825,0.76207,0.80387,0.58996,1.0861,0.63944,0.7917,0.0066835,0.0066835,0.0066835
69,28169.7,1.10831,0.84776,1.01897,0.77884,0.76263,0.80569,0.59096,1.08586,0.63911,0.79152,0.006634,0.006634,0.006634
70,28590.3,1.10263,0.85008,1.01814,0.77947,0.76371,0.80637,0.59083,1.0858,0.63811,0.79131,0.0065845,0.0065845,0.0065845
71,29010.7,1.11614,0.85838,1.02068,0.78046,0.76912,0.80715,0.59179,1.08551,0.63764,0.79144,0.006535,0.006535,0.006535
72,29431.2,1.10527,0.84695,1.02118,0.77563,0.77195,0.80705,0.59157,1.08524,0.63692,0.79153,0.0064855,0.0064855,0.0064855
73,29851.3,1.09531,0.83477,1.01408,0.76638,0.77996,0.80768,0.59167,1.08433,0.63613,0.79109,0.006436,0.006436,0.006436
74,30271.6,1.11052,0.84633,1.0202,0.76341,0.78131,0.80707,0.59132,1.08359,0.63531,0.79085,0.0063865,0.0063865,0.0063865
75,30691.7,1.09876,0.84377,1.0192,0.7674,0.78066,0.80749,0.59214,1.08297,0.63453,0.79067,0.006337,0.006337,0.006337
76,31112.1,1.10126,0.83795,1.01875,0.76822,0.78305,0.80941,0.59344,1.08271,0.63369,0.79024,0.0062875,0.0062875,0.0062875
77,31532.5,1.09458,0.83409,1.01268,0.77015,0.78238,0.81023,0.59399,1.08245,0.63273,0.78978,0.006238,0.006238,0.006238
78,31953,1.08997,0.83768,1.01372,0.77282,0.78001,0.80967,0.59453,1.08204,0.6323,0.78953,0.0061885,0.0061885,0.0061885
79,32373.1,1.09618,0.83103,1.01439,0.77242,0.78057,0.80992,0.5958,1.08165,0.63138,0.78915,0.006139,0.006139,0.006139
80,32793.6,1.08926,0.83405,1.0117,0.77343,0.77864,0.80987,0.59517,1.08162,0.6313,0.78905,0.0060895,0.0060895,0.0060895
