epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,157.679,1.14378,0.60331,1.03446,0.7907,0.70017,0.73764,0.40521,1.40722,0.72147,1.18089,0.00332226,0.00332226,0.00332226
2,319.514,1.18204,0.63147,1.05085,0.75553,0.66144,0.7012,0.37983,1.42847,0.77796,1.19054,0.0065897,0.0065897,0.0065897
3,445.155,1.30307,0.72465,1.09621,0.69104,0.6384,0.65581,0.33211,1.56141,0.89116,1.24452,0.00979115,0.00979115,0.00979115
4,569.692,1.43154,0.85355,1.15344,0.65541,0.56739,0.60058,0.30755,1.61126,0.93997,1.28114,0.009703,0.009703,0.009703
5,714.647,1.44456,0.85776,1.16069,0.59704,0.48811,0.51938,0.26841,1.63285,1.04512,1.29278,0.009604,0.009604,0.009604
6,878.093,1.44807,0.85748,1.15739,0.69542,0.62126,0.64203,0.31344,1.63157,0.94568,1.26721,0.009505,0.009505,0.009505
7,1232.53,1.4417,0.86367,1.15508,0.7015,0.64709,0.66642,0.33696,1.54758,0.87557,1.23835,0.009406,0.009406,0.009406
8,1391.62,1.43512,0.85698,1.15611,0.67592,0.62126,0.64029,0.3264,1.54368,0.90586,1.21765,0.009307,0.009307,0.009307
9,1523.75,1.42653,0.84468,1.15207,0.7228,0.60646,0.64347,0.33486,1.55456,0.88529,1.24299,0.009208,0.009208,0.009208
10,3162.02,1.41478,0.83465,1.14541,0.72516,0.64786,0.67111,0.3433,1.53487,0.87906,1.22961,0.009109,0.009109,0.009109
11,3310.75,1.43252,0.84413,1.14998,0.70504,0.61202,0.65869,0.34801,1.46443,0.88462,1.19821,0.00901,0.00901,0.00901
12,3449.44,1.4106,0.83009,1.14527,0.74551,0.62306,0.67311,0.35747,1.47702,0.85156,1.20304,0.008911,0.008911,0.008911
13,3613.94,1.40504,0.82207,1.14502,0.70127,0.65917,0.67757,0.35162,1.51122,0.87852,1.19969,0.008812,0.008812,0.008812
14,3780.8,1.39366,0.8086,1.13831,0.70987,0.61707,0.64812,0.34498,1.47609,0.86456,1.19974,0.008713,0.008713,0.008713
15,3917.38,1.39622,0.81069,1.13343,0.76353,0.63539,0.68996,0.3674,1.47316,0.82642,1.19583,0.008614,0.008614,0.008614
16,4069.32,1.39166,0.80277,1.13529,0.73176,0.65409,0.68794,0.36242,1.51495,0.84185,1.2111,0.008515,0.008515,0.008515
17,4197.7,1.39406,0.80159,1.13487,0.73563,0.65498,0.69655,0.372,1.44104,0.80181,1.18986,0.008416,0.008416,0.008416
18,4348.37,1.38258,0.79774,1.12674,0.75855,0.65979,0.70651,0.37567,1.44628,0.80991,1.18876,0.008317,0.008317,0.008317
