epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,182.396,1.69314,1.42132,1.30306,0.5751,0.53322,0.56211,0.2726,1.75943,1.14176,1.27465,0.00332596,0.00332596,0.00332596
2,355.437,1.62747,1.14163,1.23034,0.4962,0.49583,0.50616,0.26469,1.6682,1.18283,1.2737,0.00663292,0.00663292,0.00663292
3,499.537,1.70312,1.22086,1.26816,0.54167,0.48207,0.47046,0.20624,2.08005,2.45403,1.51501,0.00991348,0.00991348,0.00991348
4,659.192,1.76305,1.28646,1.31648,0.53115,0.5568,0.52454,0.24925,1.87934,1.31823,1.38047,0.0098812,0.0098812,0.0098812
5,802.494,1.70766,1.23223,1.29494,0.51773,0.49607,0.50165,0.23976,1.84105,1.33305,1.35035,0.0098416,0.0098416,0.0098416
6,1499.22,1.66484,1.18258,1.27587,0.54798,0.50974,0.54592,0.28118,1.6868,1.19125,1.29853,0.009802,0.009802,0.009802
7,1666.38,1.62511,1.12749,1.2553,0.60067,0.55492,0.58192,0.29286,1.67329,1.14539,1.29864,0.0097624,0.0097624,0.0097624
8,1838.91,1.60793,1.10591,1.2476,0.58355,0.50707,0.54879,0.27635,1.71392,1.16592,1.32176,0.0097228,0.0097228,0.0097228
9,1974.62,1.59084,1.08612,1.24029,0.65424,0.53968,0.59857,0.30996,1.63837,1.06766,1.2786,0.0096832,0.0096832,0.0096832
10,2110.31,1.56753,1.06188,1.2277,0.64167,0.58319,0.6041,0.31717,1.59568,1.09026,1.25365,0.0096436,0.0096436,0.0096436
11,4584.72,1.55899,1.03217,1.22547,0.67439,0.61271,0.647,0.33573,1.60379,1.02102,1.25733,0.009604,0.009604,0.009604
12,4716,1.54616,1.01782,1.21429,0.65143,0.57396,0.62509,0.33162,1.61413,1.04327,1.2569,0.0095644,0.0095644,0.0095644
13,4863.02,1.52052,1.00157,1.20998,0.68958,0.60033,0.64583,0.33496,1.5708,1.0058,1.2432,0.0095248,0.0095248,0.0095248
14,5018.52,1.51605,0.98242,1.19832,0.67261,0.62104,0.65334,0.34903,1.54675,0.97883,1.22761,0.0094852,0.0094852,0.0094852
15,5158.09,1.49709,0.97056,1.18881,0.66097,0.56524,0.62774,0.34078,1.56487,1.0051,1.23857,0.0094456,0.0094456,0.0094456
16,7133.4,1.48913,0.95355,1.18937,0.7186,0.6571,0.67535,0.35243,1.57981,0.94312,1.23393,0.009406,0.009406,0.009406
17,7282.06,1.48495,0.95156,1.18376,0.67735,0.60312,0.64845,0.34923,1.5603,0.95891,1.23641,0.0093664,0.0093664,0.0093664
18,7435.49,1.4618,0.93347,1.17576,0.69462,0.60479,0.66519,0.35931,1.52875,0.93205,1.21491,0.0093268,0.0093268,0.0093268
19,7575.29,1.46878,0.92227,1.17798,0.6802,0.62148,0.66551,0.35881,1.51154,0.94056,1.21769,0.0092872,0.0092872,0.0092872
20,8052.32,1.45929,0.90793,1.17404,0.73302,0.65576,0.69726,0.37367,1.518,0.90642,1.21516,0.0092476,0.0092476,0.0092476
21,8186.7,1.43725,0.89331,1.16581,0.72387,0.67613,0.69856,0.37049,1.54243,0.90531,1.22215,0.009208,0.009208,0.009208
22,8869.77,1.44371,0.88555,1.16146,0.7353,0.65364,0.70583,0.37815,1.52753,0.89456,1.21706,0.0091684,0.0091684,0.0091684
23,9017.02,1.44227,0.88452,1.16031,0.739,0.62727,0.69269,0.37311,1.51389,0.88624,1.21014,0.0091288,0.0091288,0.0091288
24,9211.69,1.4198,0.86678,1.15601,0.72462,0.6542,0.69357,0.37731,1.49761,0.87203,1.21153,0.0090892,0.0090892,0.0090892
25,9397.59,1.4219,0.87264,1.15557,0.76625,0.66182,0.72282,0.38944,1.49436,0.8611,1.20367,0.0090496,0.0090496,0.0090496
26,9585.88,1.40616,0.85126,1.1488,0.73595,0.66967,0.71179,0.38709,1.49359,0.85062,1.20713,0.00901,0.00901,0.00901
27,9719.53,1.40915,0.85363,1.14434,0.73743,0.67457,0.71429,0.38342,1.51116,0.87295,1.21327,0.0089704,0.0089704,0.0089704
28,9874.07,1.40112,0.84604,1.14439,0.74271,0.65498,0.70542,0.38493,1.49667,0.84866,1.20905,0.0089308,0.0089308,0.0089308
29,10012.3,1.39394,0.83211,1.13948,0.7559,0.66207,0.70845,0.3902,1.47057,0.84142,1.19967,0.0088912,0.0088912,0.0088912
30,10172.5,1.3797,0.82698,1.1352,0.74816,0.67078,0.70865,0.38586,1.48352,0.83488,1.19788,0.0088516,0.0088516,0.0088516
31,10341.4,1.38777,0.82053,1.13453,0.75646,0.66978,0.71897,0.39239,1.49627,0.8342,1.20763,0.008812,0.008812,0.008812
32,10488.8,1.38353,0.82254,1.13194,0.74715,0.68581,0.72273,0.39677,1.47477,0.82167,1.20049,0.0087724,0.0087724,0.0087724
33,10631.2,1.36532,0.81119,1.1247,0.74258,0.66652,0.71439,0.38943,1.50751,0.84381,1.21233,0.0087328,0.0087328,0.0087328
34,10864.7,1.37149,0.80449,1.12929,0.75822,0.67154,0.71984,0.3926,1.48854,0.83468,1.20438,0.0086932,0.0086932,0.0086932
35,11046.2,1.36781,0.79994,1.12271,0.75433,0.68826,0.72401,0.39723,1.47766,0.81878,1.20027,0.0086536,0.0086536,0.0086536
36,11468.8,1.3592,0.79565,1.12621,0.76347,0.67145,0.7227,0.3988,1.46165,0.8205,1.19537,0.008614,0.008614,0.008614
37,11723.6,1.35329,0.79119,1.12057,0.75315,0.68013,0.72425,0.39935,1.44984,0.8103,1.19214,0.0085744,0.0085744,0.0085744
38,12106.8,1.3514,0.78851,1.11645,0.74802,0.69115,0.7273,0.40093,1.45763,0.81186,1.19465,0.0085348,0.0085348,0.0085348
39,12263.3,1.34809,0.77616,1.11859,0.75387,0.68893,0.72999,0.40193,1.46638,0.80695,1.19916,0.0084952,0.0084952,0.0084952
40,14138.9,1.33807,0.77312,1.11231,0.74579,0.68505,0.72496,0.40384,1.45129,0.80295,1.18947,0.0084556,0.0084556,0.0084556
41,14294.5,1.34655,0.7761,1.1141,0.75217,0.69126,0.72963,0.40377,1.45526,0.80079,1.19334,0.008416,0.008416,0.008416
42,14466.7,1.33801,0.77012,1.1176,0.76101,0.69959,0.73594,0.40488,1.46202,0.79782,1.19386,0.0083764,0.0083764,0.0083764
43,14623.7,1.32977,0.76112,1.10908,0.76649,0.70655,0.7403,0.40875,1.45884,0.78693,1.19466,0.0083368,0.0083368,0.0083368
44,14784.9,1.31431,0.75566,1.10587,0.75797,0.6906,0.73043,0.4055,1.4637,0.79304,1.19956,0.0082972,0.0082972,0.0082972
45,14937.8,1.31943,0.75598,1.10519,0.75565,0.7066,0.73557,0.40647,1.47195,0.78583,1.20426,0.0082576,0.0082576,0.0082576
46,15127.5,1.32408,0.75872,1.10422,0.76001,0.7005,0.73431,0.40834,1.46172,0.78327,1.19704,0.008218,0.008218,0.008218
47,15289.9,1.31425,0.75025,1.10017,0.75684,0.69683,0.73744,0.41012,1.45839,0.78857,1.19579,0.0081784,0.0081784,0.0081784
48,15443.5,1.31606,0.74445,1.10319,0.76401,0.70083,0.7412,0.411,1.46996,0.77767,1.20145,0.0081388,0.0081388,0.0081388
49,15634.4,1.29584,0.72791,1.09407,0.7761,0.69826,0.73841,0.41166,1.45793,0.77389,1.1998,0.0080992,0.0080992,0.0080992
50,15769.8,1.29691,0.72729,1.09724,0.77194,0.70061,0.73901,0.41202,1.45246,0.77154,1.19711,0.0080596,0.0080596,0.0080596
51,15905.6,1.29763,0.72663,1.09554,0.7683,0.71096,0.74405,0.41469,1.44664,0.77161,1.19601,0.00802,0.00802,0.00802
52,16052,1.295,0.7244,1.09079,0.7669,0.70228,0.7415,0.41389,1.44786,0.77226,1.19745,0.0079804,0.0079804,0.0079804
53,16216.6,1.2837,0.71754,1.08971,0.76823,0.70673,0.74326,0.41623,1.44395,0.76545,1.19728,0.0079408,0.0079408,0.0079408
54,16376.5,1.27069,0.70851,1.08386,0.77563,0.70885,0.74195,0.41601,1.44937,0.76358,1.19836,0.0079012,0.0079012,0.0079012
55,16538.1,1.28482,0.71595,1.08612,0.78362,0.7113,0.74494,0.41693,1.44482,0.75989,1.19676,0.0078616,0.0078616,0.0078616
56,16684.3,1.27628,0.70702,1.08302,0.78289,0.70713,0.74443,0.41699,1.44633,0.7606,1.19526,0.007822,0.007822,0.007822
57,16839.7,1.28198,0.70929,1.08423,0.78154,0.7119,0.7462,0.41728,1.44766,0.76067,1.19641,0.0077824,0.0077824,0.0077824
58,16999.8,1.27734,0.70826,1.08409,0.78151,0.71519,0.74872,0.41756,1.44548,0.76203,1.19687,0.0077428,0.0077428,0.0077428
59,17154.4,1.24707,0.69051,1.07789,0.78041,0.71474,0.74936,0.41985,1.44341,0.759,1.19517,0.0077032,0.0077032,0.0077032
60,17308.6,1.26714,0.69946,1.08075,0.78138,0.71126,0.75106,0.41994,1.4427,0.75541,1.19609,0.0076636,0.0076636,0.0076636
