epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,200.633,1.10675,0.71164,1.08576,0.79188,0.47945,0.50409,0.25019,1.75374,2.01218,1.464,0.0015941,0.0015941,0.0015941
43,205.387,1.10064,0.74259,1.07711,0.78794,0.61085,0.63621,0.36531,1.52636,1.33705,1.28634,0.0015842,0.0015842,0.0015842
44,209.793,1.05367,0.69194,1.05553,0.81407,0.47983,0.56485,0.30955,1.73172,1.63456,1.46921,0.0015743,0.0015743,0.0015743
45,214.122,1.03828,0.68323,1.05127,0.81398,0.39726,0.46911,0.27246,1.77533,2.19298,1.56137,0.0015644,0.0015644,0.0015644
46,218.623,1.07497,0.71677,1.07692,0.83297,0.54655,0.59832,0.29894,1.85262,1.65958,1.64376,0.0015545,0.0015545,0.0015545
47,223.014,1.08593,0.73039,1.08635,0.82027,0.41096,0.47958,0.31964,1.6724,2.11937,1.49861,0.0015446,0.0015446,0.0015446
48,227.485,1.06897,0.69427,1.06087,0.76338,0.57454,0.59535,0.3615,1.59123,1.57816,1.3869,0.0015347,0.0015347,0.0015347
49,231.936,1.03676,0.66864,1.06508,0.8836,0.47945,0.55784,0.3168,1.60542,1.81324,1.41598,0.0015248,0.0015248,0.0015248
50,236.498,1.05831,0.69492,1.06225,0.73184,0.48608,0.52652,0.29448,1.70085,2.06175,1.43724,0.0015149,0.0015149,0.0015149
51,240.988,1.0615,0.68237,1.06951,0.76232,0.57534,0.57258,0.30706,1.67709,1.83918,1.44521,0.001505,0.001505,0.001505
52,245.408,1.04563,0.68846,1.08179,0.59477,0.46575,0.46218,0.25289,1.66926,2.09032,1.47024,0.0014951,0.0014951,0.0014951
53,249.87,1.03409,0.68052,1.04817,0.76698,0.41096,0.44704,0.25886,1.60387,2.35454,1.37391,0.0014852,0.0014852,0.0014852
54,254.348,1.01815,0.67136,1.04457,0.78107,0.56164,0.60491,0.36658,1.44008,1.63875,1.2245,0.0014753,0.0014753,0.0014753
55,258.812,1.00928,0.66194,1.04121,0.73203,0.65753,0.66444,0.3473,1.72965,1.56917,1.41273,0.0014654,0.0014654,0.0014654
56,263.19,1.06384,0.68303,1.05304,0.68508,0.60274,0.64052,0.39235,1.52569,1.45339,1.35389,0.0014555,0.0014555,0.0014555
