epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,8049.52,1.49589,0.94279,1.23152,0.7238,0.66099,0.69372,0.36985,1.41189,0.84243,1.21686,0.007921,0.007921,0.007921
44,8198.18,1.48441,0.93292,1.22858,0.72952,0.65965,0.69647,0.37204,1.40607,0.83734,1.21278,0.0078715,0.0078715,0.0078715
45,8297.63,1.47689,0.93461,1.22462,0.7272,0.65924,0.69569,0.37312,1.39806,0.83268,1.21055,0.007822,0.007822,0.007822
46,9130.29,1.48526,0.93187,1.22154,0.73421,0.65876,0.69947,0.37535,1.39294,0.82735,1.20577,0.0077725,0.0077725,0.0077725
47,9260.91,1.47677,0.9231,1.21862,0.73403,0.66077,0.69936,0.37677,1.38601,0.82356,1.2018,0.007723,0.007723,0.007723
48,9395.29,1.47528,0.92225,1.22299,0.73598,0.65587,0.69866,0.37638,1.38403,0.82233,1.1995,0.0076735,0.0076735,0.0076735
49,9549.56,1.47303,0.92361,1.22128,0.73777,0.65587,0.6998,0.37644,1.3841,0.82009,1.19978,0.007624,0.007624,0.007624
50,9710.14,1.47255,0.91503,1.2129,0.73868,0.65754,0.70132,0.37763,1.38036,0.8188,1.19666,0.0075745,0.0075745,0.0075745
51,9829.73,1.4721,0.91881,1.21608,0.74047,0.65654,0.70217,0.3785,1.38107,0.81684,1.19569,0.007525,0.007525,0.007525
52,9965.24,1.46283,0.9132,1.20893,0.7404,0.66023,0.70391,0.37906,1.37823,0.81397,1.19329,0.0074755,0.0074755,0.0074755
53,10141,1.45819,0.90436,1.20483,0.74344,0.66155,0.70469,0.37996,1.3785,0.81178,1.19077,0.007426,0.007426,0.007426
54,10289,1.46382,0.91131,1.20982,0.74506,0.66221,0.70639,0.38149,1.37569,0.80988,1.18841,0.0073765,0.0073765,0.0073765
55,10449,1.45448,0.88866,1.20327,0.74739,0.66024,0.70671,0.38182,1.37527,0.80695,1.18782,0.007327,0.007327,0.007327
56,10576,1.45604,0.89747,1.20305,0.74996,0.65988,0.70791,0.38238,1.37452,0.80418,1.18679,0.0072775,0.0072775,0.0072775
57,10684.5,1.45642,0.89611,1.19641,0.7507,0.66132,0.70874,0.38305,1.37355,0.80232,1.18559,0.007228,0.007228,0.007228
58,12620.2,1.45172,0.89466,1.20136,0.75415,0.66155,0.71051,0.3829,1.37242,0.80096,1.18438,0.0071785,0.0071785,0.0071785
59,13009.9,1.44933,0.88992,1.19358,0.75462,0.66166,0.71011,0.38345,1.37202,0.79994,1.18406,0.007129,0.007129,0.007129
